name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Avalon Technologies,https://scanx.trade/company/avalon-technologies-ltd,"1,020.50",-0.95%,"1,032.00","5,46,636","6,810.21",78.66,23.21,"1,318.00",603,14.18%,-11.28%,43.98%,156.41%,156.41%,10.58,-,9.78%,15.41%,2.83,892.29,921.89,68.05,50.00%,75.00%
Power Mech Projects,https://scanx.trade/company/power-mech-projects-ltd,"2,153.40",-1.95%,"2,219.80","74,303","6,808.25",18.51,10.58,"3,415.00","1,700.00",-7.54%,-12.71%,5.67%,155.71%,775.97%,3.04,0.06%,-,23.18%,-,"2,240.03","2,746.91",48.9,50.00%,70.00%
EPL,https://scanx.trade/company/epl-essel-propack-ltd,212.06,1.55%,208.8,"8,14,968","6,791.77",16.06,11.76,261.37,175.28,-1.08%,4.70%,-8.81%,38.83%,-3.12%,2.55,2.38%,10.05%,18.76%,8.17,206.76,217.79,60.37,66.98%,80.00%
Mishra Dhatu Nigam,https://scanx.trade/company/midhani-mishra-dhatu-nigam-ltd,361.9,-0.03%,367,"7,14,402","6,779.83",62.96,19.48,469,226.93,1.90%,-4.78%,18.15%,81.54%,85.68%,4.7,0.41%,12.16%,8.36%,4.18,333.75,375.62,54.7,62.42%,80.00%
Park Medi World,https://scanx.trade/company/park-medi-world-ltd,155.52,-1.16%,156.5,"8,43,342","6,717.39",25.22,-67.01,165.87,138.1,3.87%,5.12%,5.12%,5.12%,5.12%,3.47,-,-,21.95%,-,-,-,54.76,-,65.00%
BlueStone Jewellery & Lifestyle,https://scanx.trade/company/bluestone-jewellerylifestyle-ltd,441.05,1.22%,435.75,"3,64,766","6,673.99",-95.42,8.17,793,411.85,-11.92%,-38.05%,-19.22%,-19.22%,-19.22%,3.96,-,-,-0.78%,-,491.96,-,42.28,-,60.00%
Sheela Foam,https://scanx.trade/company/sheela-foam-ltd,610.55,1.54%,610,"12,39,537","6,637.34",71.61,38.29,912.6,497.95,2.90%,-14.88%,-30.33%,-50.35%,-40.05%,2.12,-,6.53%,5.76%,12.09,571.1,651.48,65.33,71.53%,80.00%
Inox Green Energy Services,https://scanx.trade/company/inox-green-energy-services-ltd,177.06,-1.76%,180,"10,15,394","6,610.93",116.1,38.29,279,104,-17.12%,-34.43%,15.15%,281.18%,199.59%,3.05,-,-,2.44%,-,194.32,185.71,46.66,-,-
Shadowfax Technologies,https://scanx.trade/company/shadowfax-technologies-ltd,114.16,-1.65%,117,"24,52,084","6,599.97","1,055.00",369.46,119.67,98.55,3.80%,3.80%,3.80%,3.80%,3.80%,3.84,-,-,2.67%,-,-,-,-,-,-
Greenlam Industries,https://scanx.trade/company/greenlam-industries-ltd,258.17,1.47%,255.9,"45,724","6,587.15",385.15,38.29,297.7,197.42,4.16%,-2.69%,-7.84%,67.56%,185.81%,5.71,0.16%,12.82%,8.69%,9.84,247.49,244.4,59.77,50.00%,-
