name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Essar Shipping,https://scanx.trade/company/essar-shipping-ltd,26.77,-2.58%,27.48,"1,23,702",554.07,8.87,20.17,43.26,21.5,-2.19%,-25.95%,-16.32%,236.73%,174.56%,-0.24,-,-,-77.75%,-,26.87,28.88,53.53,-,-
HLV,https://scanx.trade/company/hotel-leela-venture-ltd,8.37,-1.88%,8.52,"1,60,416",551.8,70.33,225.72,16.92,7.8,-12.81%,-25.47%,-47.62%,-17.54%,39.50%,1.23,-,-4.42%,-3.65%,0.36,9.1,11.56,42.31,50.00%,-
Neptune Petrochemicals,https://scanx.trade/company/neptune-petrochemicals-ltd,243.4,1.42%,240,"13,000",551.39,21.66,31.05,241.55,126.3,22.01%,50.15%,74.67%,74.67%,74.67%,3.88,-,-,50.72%,-,203.78,-,65.22,-,-
Sukhjit Starch & Chemicals,https://scanx.trade/company/sukhjit-starch-chemicals-ltd,176.43,-2.20%,175.25,"4,109",551.24,24.64,38.29,245,143.61,-4.71%,8.58%,-24.27%,-17.04%,-59.13%,1.03,0.55%,9.94%,11.50%,34,166.68,176.6,51.42,50.00%,-
OnMobile Global,https://scanx.trade/company/onmobile-global-ltd,51.77,-2.49%,53.5,"2,05,523",550.43,67.46,-3.3,75.73,41.07,-12.79%,-30.00%,-30.57%,-39.24%,-19.42%,0.87,-,1.04%,-4.50%,-,55.75,56.99,46.9,50.00%,-
Suratwwala Business Group,https://scanx.trade/company/sbglp.ltd,31.54,-4.34%,33.45,"46,638",546.96,28.63,8.7,119.39,24.95,-8.10%,-6.13%,-72.91%,42.71%,42.71%,7.08,-,-,11.39%,-,33.7,37.76,34.33,-,-
Investment Trust of India,https://scanx.trade/company/the-investment-trust-of-india-ltd,104.31,-0.55%,105.8,"1,03,481",544.94,15.4,3.47,192.33,97.5,-10.82%,-24.44%,-38.08%,19.62%,-3.60%,0.75,-,-,13.50%,-,114.78,139.68,41.62,50.00%,-
Ganesh Benzoplast,https://scanx.trade/company/ganesh-benzoplast-ltd,75.44,0.19%,73.62,"54,934",543.09,11.53,38.29,133.8,68.4,-7.65%,-11.56%,-40.06%,-47.10%,-20.13%,0.94,-,15.23%,9.52%,8.67,78.49,93.38,50.13,50.00%,-
Jayant Agro Organics,https://scanx.trade/company/jayant-agro-organics-ltd,180.98,-0.47%,182.75,"17,974",542.94,10.83,200.88,308.85,172.01,-10.20%,-21.44%,-34.63%,-1.37%,26.47%,0.93,1.37%,9.63%,13.99%,17.59,196.47,231.2,41.67,50.00%,-
Subex,https://scanx.trade/company/subex-ltd,9.66,-2.62%,9.93,"12,43,753",542.89,-110.44,52.74,19.18,8.84,-17.58%,-25.12%,-47.01%,-71.71%,-61.51%,1.73,-,-,-4.56%,-,11.02,12.75,40.02,-,-
SJ Logistics,https://scanx.trade/company/sj-logistics-india-ltd,354.55,0.42%,350,"19,500",542.22,8.79,38.29,685,300,-4.23%,9.94%,-40.39%,92.95%,92.95%,2.18,-,-,27.87%,-,354.44,414.97,57.48,-,-
Entertainment Network,https://scanx.trade/company/enil-entertainment-network-india-ltd,113.53,0.68%,113.33,"10,434",541.2,44.45,17.94,174.58,107.09,-0.46%,-16.09%,-29.09%,-15.65%,-28.93%,0.71,1.78%,-0.90%,3.53%,6.38,116.07,139.71,47,50.00%,-
Pansari Developers,https://scanx.trade/company/pansari-developers-ltd,310,-,321.95,582,540.85,50.57,8.7,352.3,142.05,3.30%,17.47%,49.80%,346.04%,1244.90%,5.91,-,-,9.71%,-,302.23,260,56.92,-,-
Andhra Cements,https://scanx.trade/company/andhra-cements-ltd,58.63,-0.41%,58.29,"3,706",540.41,-3.28,943.7,109.99,48.15,-12.52%,-19.04%,-17.62%,1.79%,1.79%,7.14,-,-,-11.67%,-,66.66,70.73,39.4,-,-
IRIS RegTech Solutions,https://scanx.trade/company/iris-business-services-ltd,262.25,-6.10%,279,"72,479",539.4,4.65,52.74,447.45,228.05,-16.45%,-21.79%,-40.22%,219.04%,66.35%,3.04,-,-,23.22%,-,298.09,312.94,36.13,-,-
Bhagyanagar,https://scanx.trade/company/bhagyanagar-india-ltd,168.49,-2.85%,170,"85,337",539.08,15.36,22.3,193,65,4.50%,21.18%,92.52%,247.04%,424.07%,2.46,-,-,11.83%,-,153.39,108.9,52.54,-,-
Premier Polyfilm,https://scanx.trade/company/premier-polyfilm-ltd,51.46,3.25%,50.35,"88,400",539,18.1,24.12,76,38,22.79%,22.44%,-21.40%,178.61%,27.38%,3.97,0.30%,-,28.33%,-,44.81,48.62,60.39,50.00%,-
Hindustan Media Ventures,https://scanx.trade/company/hindustan-media-ventures-ltd,73.1,1.54%,72.5,"26,235",538.54,7.96,17.94,103.4,61.76,4.28%,-4.06%,-18.94%,48.28%,30.54%,0.34,-,-2.75%,5.58%,0.56,68.73,80.9,62.62,50.00%,-
Prakash Pipes,https://scanx.trade/company/prakash-pipes-ltd,225.1,-1.56%,228.45,"51,688",538.4,10.34,24.12,473.9,186.41,-6.43%,-21.87%,-48.38%,40.60%,85.42%,1.2,1.05%,25.59%,26.08%,37.48,229.44,324.2,54.56,50.00%,-
Speciality Restaurants,https://scanx.trade/company/speciality-restaurants-ltd,111.1,-3.09%,115.3,"26,982",535.9,25.89,225.72,157,101.03,1.72%,-18.92%,-26.61%,-54.12%,139.44%,1.63,0.88%,34.99%,9.36%,6.25,112.8,126.79,52.38,50.00%,-
Urja Global,https://scanx.trade/company/urja-global-ltd,10.09,-0.20%,10.11,"8,91,876",530.18,202.6,43.31,17.49,9.42,-11.26%,-21.42%,-32.28%,12.74%,16.65%,3.04,-,-,1.13%,-,10.98,13.26,43.65,50.00%,-
Primo Chemicals,https://scanx.trade/company/primo-chemicals-ltd,21.87,3.01%,20.5,"86,284",530,50.64,21.48,31.39,19.06,-8.61%,-5.16%,-21.78%,-21.78%,-21.78%,1.41,-,-,7.58%,-,22.61,-,53.23,50.00%,-
Mirza International,https://scanx.trade/company/mirza-international-ltd,38.29,-1.29%,38.98,"1,34,688",529.18,54.55,28.5,44.64,25.03,3.26%,3.71%,-0.88%,-84.07%,461.44%,0.93,-,2.18%,1.17%,0.74,37.68,35.06,55.99,50.00%,-
Kaya,https://scanx.trade/company/kaya-ltd,348.25,-2.91%,356,"3,231",528.91,-7.21,38.29,487.9,204.43,-13.56%,-20.25%,17.33%,19.14%,4.05%,-5.88,-,-,-2.86%,-,373.92,387.74,43.18,-,-
WS Industries,https://scanx.trade/company/w-s-industries-india-ltd,80.1,-0.62%,80.94,"1,12,876",528.01,-25.83,8.7,102.25,62.6,-13.43%,-1.68%,-19.96%,382.53%,2036.00%,2,-,-,4.62%,-,82.71,80.05,47.21,-,-
Sigma Solve,https://scanx.trade/company/sigma-solve-ltd,51.26,2.60%,50.7,"51,999",526.82,20.28,52.74,421,21.01,-12.93%,-10.18%,65.78%,136.22%,2747.78%,8.3,0.10%,-,47.20%,-,54.04,44.94,45.87,-,-
Mos Utility,https://scanx.trade/company/mos-utility-ltd,20.45,1.49%,20.5,"10,04,000",526.47,38.75,38.29,301,19.5,-12.79%,-16.87%,-92.51%,-82.13%,-82.13%,4.72,-,-,21.12%,-,22.37,24.96,38.69,-,-
GFL,https://scanx.trade/company/gfl-gujarat-fluorochemicals-ltd,47.5,-0.69%,48.5,"86,561",521.79,-73.17,3.47,81,46.55,-19.14%,-23.79%,-33.64%,-24.72%,-45.59%,0.21,-,-,-1.80%,-,55.75,60.14,32.23,-,-
Panache Digilife,https://scanx.trade/company/panache-digilife-ltd,342.55,4.13%,335,"26,126",521.64,77.22,9.57,472.15,171.85,5.25%,-23.11%,18.39%,324.47%,746.85%,7.35,-,-,15.11%,-,324.31,293.8,65.38,-,-
Orient Ceratech,https://scanx.trade/company/orient-abrasives-ltd,43.35,1.55%,41.8,"4,72,607",518.64,30.15,28.75,56.64,28.67,-21.28%,20.15%,-4.91%,64.20%,81.00%,1.75,0.58%,5.46%,6.10%,1.33,44.11,39.45,50.36,50.00%,-
Advani Hotels & Resorts,https://scanx.trade/company/advani-hotels-resorts-ltd,56.04,-1.01%,56.61,"37,721",518.03,22.11,225.72,68.39,52.29,-3.51%,-3.98%,-12.81%,57.64%,138.98%,7.02,3.36%,45.60%,40.12%,2.7,57.15,59.13,46.22,50.00%,-
Foods & Inns,https://scanx.trade/company/foods-inns-ltd,70.45,3.94%,67.78,"2,24,644",517.21,15.78,30.92,128.45,56.15,2.49%,-14.60%,-35.38%,-49.46%,-21.28%,0.91,0.44%,-,17.26%,-,68.25,87.9,63.7,-,-
BMW Ventures,https://scanx.trade/company/bmw-ventures-ltd,59.48,1.40%,58.9,"1,54,859",515.78,15.4,34.45,78,50.02,3.41%,-14.11%,-19.73%,-19.73%,-19.73%,1.15,1.88%,-,33.30%,-,57.71,-,60.54,-,-
Influx Healthtech,https://scanx.trade/company/influx-healthtech-ltd,221.8,-0.05%,221.9,"10,200",513.48,-,18.72,261.95,120,-3.71%,16.34%,75.75%,75.75%,75.75%,-,-,-,49.15%,-,220.64,-,54.28,-,-
Emami Paper Mills,https://scanx.trade/company/emami-paper-mills-ltd,84.63,-0.51%,85,"5,466",512,28.08,220.88,122,77.3,-4.26%,-14.56%,-17.39%,-40.11%,-13.20%,0.89,1.86%,10.89%,8.11%,15.83,85.98,95.02,51.74,50.00%,-
Shalimar Paints,https://scanx.trade/company/shalimar-paints-ltd,61.14,-3.63%,63.44,"1,15,109",511.81,-8.28,40.65,141.13,54.5,-18.88%,-20.80%,-55.19%,-56.82%,-44.42%,3.03,-,-10.25%,-18.02%,-,63.53,81.24,43.16,50.00%,-
Tara Chand Infralogistics Solutions,https://scanx.trade/company/tara-chand-infra-logistic-solutions-ltd,64.72,-4.63%,68.9,"1,03,484",510.15,19.78,51.97,103.67,49.37,-18.70%,-23.46%,27.55%,325.23%,1015.86%,3.95,0.29%,-,12.30%,-,73.76,71.96,40.09,-,-
Tera Software,https://scanx.trade/company/tera-software-ltd,407.2,-3.25%,419.8,"18,966",509.48,32.28,52.74,598,162.85,-2.78%,-26.73%,63.08%,912.94%,761.80%,3.95,-,-,12.91%,-,433.35,370.31,49.48,-,-
Globe International Carriers,https://scanx.trade/company/globe-international-carriers-ltd,45.5,2.82%,44.9,"3,48,000",509.39,75,38.29,179,38.95,-3.09%,6.06%,-59.06%,3.41%,438.46%,5.4,-,-,14.41%,-,45,35.66,54.72,-,-
DIC India,https://scanx.trade/company/dic-india-ltd,553.85,-1.56%,560,995,508.38,25.79,200.88,748,450.5,10.05%,9.49%,-13.20%,45.52%,40.23%,1.23,0.71%,-,6.57%,-,503.21,574.2,65.39,-,-
Sutlej Textiles & Industries,https://scanx.trade/company/sutlej-textiles-and-industries-ltd,30.91,-3.56%,32.65,"99,168",506.39,-5.81,29.53,56,26.2,-2.49%,-13.44%,-41.71%,-44.31%,-25.88%,0.62,-,-,-3.75%,-,31.23,36.87,54.47,-,-
Sreeleathers,https://scanx.trade/company/sreeleathers-ltd,217.52,-1.11%,219,"1,604",503.67,22.19,34.45,262,207.6,-1.31%,-3.65%,-13.34%,12.59%,48.88%,1.06,-,6.89%,6.82%,11.59,219.11,233.03,51.27,50.00%,-
Utssav CZ Gold Jewels,https://scanx.trade/company/utssav-cz-gold-jewels-ltd,211.45,-1.81%,217,"14,400",503.63,20.47,8.17,281,145.05,-6.02%,-18.59%,-11.21%,82.99%,82.99%,4.05,-,-,28.55%,-,225.1,222.19,43.08,-,-
Zee Media Corporation,https://scanx.trade/company/zee-media-corporation-ltd,8.04,-1.47%,8.3,"11,36,543",502.84,-6.12,17.94,17.77,7.1,-10.86%,-19.60%,-49.75%,-30.69%,50.28%,2.62,-,-,-34.19%,-,8.74,11.76,44.67,50.00%,-
Sarveshwar Foods,https://scanx.trade/company/sarveshwar-food-ltd,4.08,-1.92%,4.06,"15,75,913",501.32,16.52,30.92,8.97,3.82,-13.74%,-19.53%,-45.16%,58.75%,848.84%,1.09,-,3.70%,23.95%,0.17,4.28,6.1,44.75,60.00%,-
Laxmi India Finance,https://scanx.trade/company/laxmi-india-finance-ltd,95.66,-4.61%,101,"1,30,270",499.99,13.18,3.47,180.9,85.87,-24.88%,-34.31%,-28.67%,-28.67%,-28.67%,1.21,-,-,11.60%,-,117.87,-,37.75,-,-
Pramara Promotions,https://scanx.trade/company/pramara-promotions-ltd,357.25,0.48%,359.5,"29,500",498.16,84.05,34.45,367,101.05,2.98%,11.38%,149.83%,206.52%,206.52%,4.5,-,-,15.53%,-,349.54,260.55,61.42,-,-
Tolins Tyres,https://scanx.trade/company/tolins-tyres-ltd,126.07,-1.65%,129.98,"32,827",498.09,13.99,35.04,202,107.72,-9.37%,-34.46%,-20.53%,-47.34%,-47.34%,1.49,-,-,16.93%,-,131.49,151.11,50.16,50.00%,-
International Conveyors,https://scanx.trade/company/international-conveyors-ltd,77.84,-1.09%,80.2,"34,860",493.34,7.45,38.29,114.54,61.2,-13.29%,-17.22%,-2.37%,34.90%,6.27%,1.29,0.94%,13.36%,32.00%,9.84,85.34,88.83,40.4,50.00%,-
Munjal Showa,https://scanx.trade/company/munjal-showa-ltd,123.17,1.80%,120.99,"29,789",492.62,18.79,173.23,157.5,104.2,-1.78%,-5.46%,-10.89%,32.02%,-17.47%,0.73,3.70%,4.63%,5.13%,7.75,122.09,131.2,59.37,50.00%,-
Dreamfolks Services,https://scanx.trade/company/dreamfolks-services-ltd,92.15,-1.90%,93.93,"76,855",490.88,7.77,38.29,366,88.5,-15.45%,-27.68%,-74.74%,-75.13%,-80.07%,1.5,-,-,29.66%,-,105.89,158.19,35.14,-,-
Radiant Cash Management Services,https://scanx.trade/company/radiant-cash-management-services-ltd,45.97,0.15%,45.5,"45,307",490.54,13.25,38.29,73.8,43.9,-10.60%,-11.88%,-30.97%,-52.34%,-56.18%,1.86,5.49%,27.28%,23.96%,3.87,50.32,57.18,38.72,50.00%,-
Focus Lighting & Fixtures,https://scanx.trade/company/focus-lighting-fixtures-ltd,72.29,-1.26%,70.6,"15,890",487.56,97.61,-0.1,126.15,63.51,-3.27%,-13.61%,-27.77%,7.06%,1406.04%,3.41,-,-,13.50%,-,73.25,91.2,51.46,-,-
Orbit Exports,https://scanx.trade/company/orbit-exports-ltd,183.8,-3.00%,189.84,"9,612",487.27,13.22,118.54,265,138.7,-5.84%,-17.22%,-3.26%,26.37%,174.53%,1.69,-,-,18.28%,-,186.13,192.89,52.99,-,-
Modison,https://scanx.trade/company/modison-metals-ltd,149.69,-1.94%,151.86,"27,026",485.74,10.79,-0.1,197.45,112,-6.68%,4.12%,-4.56%,128.71%,138.93%,2.2,2.29%,-,17.51%,-,148.27,154.33,48.46,50.00%,-
Donear Industries,https://scanx.trade/company/donear-industries-ltd,93.14,-3.52%,97.5,"46,381",484.33,14.88,118.54,135,77.6,-0.41%,-7.46%,-27.61%,2.24%,169.19%,1.96,0.21%,-,27.85%,-,93.38,100.54,56.42,50.00%,-
SIL Investments,https://scanx.trade/company/sil-investments-ltd,456,-1.16%,465.5,"4,998",483.17,11.11,3.47,767,424.45,-11.98%,-25.92%,-17.79%,43.19%,127.49%,0.17,0.53%,-,1.18%,-,495.99,577.69,43.86,-,-
Ganesh Infraworld,https://scanx.trade/company/ganesh-infraworld-ltd,112.85,-1.95%,115.1,"9,600",482.11,7.77,8.7,279.8,83.4,-20.53%,-49.64%,-20.30%,-31.83%,-31.83%,2.32,-,-,30.18%,-,156.09,194.85,43.5,-,-
Aptech,https://scanx.trade/company/aptech-ltd,82.66,-0.82%,82.3,"86,543",479.7,22.3,15.49,182.3,76.02,-12.08%,-23.58%,-47.71%,-68.08%,-47.74%,2.03,5.40%,-,13.79%,-,91.92,125.02,42.14,-,-
Medicamen Biotech,https://scanx.trade/company/medicamen-biotech-ltd,352.7,-0.91%,358.95,"19,553",478.36,56.87,18.72,560.7,292.95,-7.01%,-8.27%,-27.42%,-50.53%,-36.11%,1.75,0.26%,7.62%,5.95%,5.81,378.29,383.11,43.64,50.00%,-
TPL Plastech,https://scanx.trade/company/tpl-plastech-ltd,61.19,-2.30%,62.01,"94,932",477.3,18.6,11.76,96.75,59.44,-7.29%,-12.76%,-31.04%,70.21%,299.15%,3.19,1.61%,-,21.51%,-,65.84,74.28,37.59,50.00%,-
Polysil Irrigation Systems,https://scanx.trade/company/polysil-irrigation-systems-ltd,212,-0.59%,213.25,"54,500",477.11,-260.06,24.12,356.75,14.25,-25.47%,-15.69%,728.12%,290.78%,290.78%,11.34,-,-,1.86%,-,274.44,176.45,36.85,-,-
Connplex Cinemas,https://scanx.trade/company/connplex-cinemas-ltd,249.7,1.92%,247.45,"50,400",476.93,24.62,17.94,293,177,-9.77%,13.14%,33.60%,33.60%,33.60%,4.08,-,-,57.19%,-,256.51,-,48.42,-,-
Glottis ,https://scanx.trade/company/glottis-ltd,51.15,-2.94%,53,"1,87,970",472.64,9.89,38.29,93,48.67,-16.86%,-29.68%,-38.89%,-38.89%,-38.89%,1.36,-,-,75.41%,-,57.7,-,38.71,-,-
GVK Power & Infrastructure,https://scanx.trade/company/gvk-power-infrastructure-ltd,2.99,1.70%,2.96,"6,35,537",472.01,-0.29,10.58,4.69,2.82,-3.24%,-8.84%,-35.84%,12.83%,4.91%,-0.32,-,677.93%,67.96%,0.13,3.12,3.55,49.18,-,-
Annapurna Swadisht,https://scanx.trade/company/annapurna-swadisht-ltd,215.9,1.94%,215.8,"1,11,250",471.09,21.48,30.92,371,180,11.12%,-11.68%,-39.44%,55.55%,63.93%,1.54,-,11.95%,12.23%,7.47,208.77,254.24,60.99,-,-
Effwa Infra & Research,https://scanx.trade/company/effwa-infra-research-ltd,203.4,-3.03%,209,"8,400",470.81,24.14,8.7,270,147.55,-10.67%,-13.24%,-3.60%,24.37%,24.37%,5.12,-,-,30.41%,-,224.94,228.14,39.57,-,-
Nahar Industrial Enterprises,https://scanx.trade/company/nahar-industrial-enterprises-ltd,108.85,-0.43%,109.32,"24,076",470.29,11.52,29.53,150,88.8,-1.64%,-4.09%,-11.13%,9.67%,137.40%,0.47,-,-,5.70%,-,105.76,116.46,61.65,-,-
Digispice Technologies,https://scanx.trade/company/digispice-technologies-ltd,20.04,0.70%,19.81,"1,04,073",469.88,-26.32,52.74,35.5,17.09,-14.87%,-23.19%,-19.61%,1.73%,-56.10%,1.99,-,-,-9.77%,-,23.22,23.68,32.54,-,-
OCCL,https://scanx.trade/company/occl-ltd,93.85,-3.39%,101,"1,77,104",468.79,13.57,200.88,159.42,63.63,-7.99%,-17.44%,2.51%,-0.11%,-0.11%,1.18,1.54%,-,7.44%,-,97.11,113.03,45.96,-,-
Thomas Scott,https://scanx.trade/company/thomas-scott-ltd,319.35,-3.65%,335.15,"9,570",468.5,31.65,23.66,494,274.75,-10.97%,-22.56%,-28.73%,594.99%,5135.25%,3.85,-,-,16.46%,-,335.06,345.07,45.53,-,-
Kronox Lab Sciences,https://scanx.trade/company/kronox-lab-sciences-ltd,126.16,0.05%,128.5,"16,061",468.1,18.12,200.88,207.49,118,-11.02%,-14.54%,-29.01%,-20.81%,-20.81%,4.61,0.40%,32.20%,38.02%,5.69,134.77,155.72,43.31,60.00%,-
Freshara Agro Exports,https://scanx.trade/company/freshara-agro-exports-ltd,199.1,-0.20%,199.9,"21,600",467.87,16.29,30.92,221.95,117.2,12.71%,24.71%,23.82%,47.81%,47.81%,3.67,-,-,32.46%,-,167.47,173.79,71.03,-,-
Indogulf Cropsciences,https://scanx.trade/company/indogulf-cropsciencesltd,73.72,-1.59%,75.7,"34,179",466.09,12.47,22.23,122,64.5,-12.26%,-28.34%,-33.19%,-33.19%,-33.19%,1.08,-,-,18.26%,-,78.28,-,50.58,-,-
Shivalik Rasayan,https://scanx.trade/company/shivalik-rasayan-ltd,295.9,-1.86%,304.95,"23,116",466.05,24.73,22.23,879.05,293,-18.19%,-35.27%,-63.94%,-55.80%,-69.01%,0.81,0.17%,7.12%,5.89%,7.65,351.81,470.4,25.12,50.00%,-
Kanpur Plastipack,https://scanx.trade/company/kanpur-plastipack-ltd,200.6,1.83%,204,"29,020",465.93,19.24,11.76,249.5,104.5,13.35%,-2.32%,57.95%,112.95%,145.53%,2.03,0.43%,-,12.77%,-,185.1,197.61,61.89,-,-
Welspun Investments & Commercials,https://scanx.trade/company/welspun-investments-and-commercials-ltd,"1,274.20",-2.03%,"1,255.10",262,465.65,147.12,3.47,"1,549.00",597.55,-2.71%,9.45%,47.88%,369.66%,250.73%,0.67,-,-,0.60%,-,"1,298.26","1,093.82",51.54,-,-
Vertoz,https://scanx.trade/company/vertoz-ltd,53.88,-4.74%,56.5,"1,93,119",459.22,17.79,52.74,111.33,7.83,-22.81%,-24.40%,391.16%,402.14%,355.07%,2.1,-,-,15.45%,-,68.64,79.79,24.28,-,-
Gujarat Apollo Industries,https://scanx.trade/company/gujarat-apollo-industries-ltd,388.15,-1.43%,397.9,"8,689",458.02,-175.38,24.35,556,246.55,-9.93%,-13.18%,9.74%,107.57%,70.95%,0.98,0.46%,-,1.96%,-,416.64,421.82,42.56,-,-
Liberty Shoes,https://scanx.trade/company/liberty-shoes-ltd,266.94,-1.90%,272.12,"20,728",454.87,34.92,28.5,474.95,217.1,-5.39%,-15.31%,-36.37%,8.40%,84.48%,2.03,-,-,14.49%,-,268.11,340.39,55.69,-,-
Unihealth Hospitals,https://scanx.trade/company/unihealth-consultancy-ltd,292.25,-3.02%,296,"7,000",452.99,30.88,-67.01,390.6,120,-6.21%,84.09%,108.82%,119.74%,119.74%,4.45,-,-,16.61%,-,299.81,203.32,50.84,-,-
Vinsys IT Services,https://scanx.trade/company/vinsys-it-services-ltd,308,-7.33%,318,"13,500",452.08,16.24,15.49,475,300,-14.86%,-22.62%,-25.64%,41.54%,41.54%,3.72,-,60.58%,26.44%,15.61,375.76,386.03,28.67,-,-
McLeod Russel,https://scanx.trade/company/mcleod-russel-ltd,43.11,-1.84%,43.92,"2,21,142",450.31,-1.66,-11.53,68.47,27.6,-10.11%,-32.54%,16.39%,76.32%,131.77%,-2.6,-,-,-6.69%,-,45.98,42.21,46.83,-,-
Aprameya Engineering,https://scanx.trade/company/aprameya-engineering-ltd,236.4,-1.70%,240.5,"5,500",450.11,28.43,-67.01,360,86.5,-21.72%,-14.08%,117.18%,212.70%,212.70%,7.13,-,-,35.30%,-,293.08,223.29,34.34,-,-
Shree Rama Newsprint & Papers,https://scanx.trade/company/shree-rama-newsprint-papers-ltd,30.5,-0.65%,30.15,"46,235",449.94,-4.26,38.29,44.78,18.5,-4.12%,7.93%,53.27%,120.22%,101.99%,-13.13,-,-,1.76%,-,30.79,32.69,47.58,-,-
Vishnusurya Projects,https://scanx.trade/company/vishnusurya-projects-ltd,182.4,-0.90%,184.5,"2,000",448.88,15.4,8.7,279.95,145,3.23%,14.00%,-21.72%,137.96%,137.96%,2.86,0.54%,-,22.37%,-,174.38,172.95,50.07,-,-
Nandan Denim,https://scanx.trade/company/nandan-denim-ltd,3.1,-1.59%,3.2,"43,72,453",446.86,12.12,23.66,5.08,2.7,4.73%,-5.49%,-23.65%,39.01%,216.33%,0.71,-,-,11.19%,-,2.96,3.43,61.54,-,-
Supreme Power Equipment,https://scanx.trade/company/supreme-power-equipment-ltd,178,0.59%,178,"9,500",444.84,20.97,-0.1,240.05,100,-7.15%,-12.25%,15.62%,72.98%,72.98%,4.34,-,-,27.04%,-,187.3,189.75,54.16,-,-
Pasupati Acrylons,https://scanx.trade/company/pasupati-acrylon-ltd,49.36,0.90%,49.85,"1,34,366",439.96,11.01,4.44,63.5,38.64,-3.86%,-7.98%,15.14%,60.26%,33.59%,1.13,-,-,10.33%,-,51.19,48.53,54.96,-,-
SRG Housing Finance,https://scanx.trade/company/srghfl.ltd,280.25,-1.65%,276.25,"1,825",439.84,16.31,13.41,353.95,255.1,-2.32%,-4.55%,-12.99%,12.39%,12.39%,1.57,-,13.19%,10.86%,15.6,275.92,298.54,51.26,50.00%,-
VISA Steel,https://scanx.trade/company/visa-steel-ltd,37.94,-4.98%,40,"53,523",439.31,-0.89,-107.53,73.68,28.2,-27.91%,-44.65%,7.88%,171.00%,434.37%,-0.34,-,-,36.72%,-,47.07,42.01,35.87,-,-
Euro Panel Products,https://scanx.trade/company/eurobond.ltd,179.1,-0.38%,175.99,"4,585",438.8,23.62,87.15,254.5,144.85,2.00%,-13.70%,3.53%,49.69%,150.84%,6.49,-,-,23.16%,-,178.23,192.74,52.7,-,-
Modi Naturals,https://scanx.trade/company/modi-naturals-ltd,329.25,0.60%,330.15,"1,773",438.11,12.49,10.45,409.95,305,-7.68%,-13.25%,-13.25%,-13.25%,-13.25%,3.21,-,-,24.72%,-,-,-,40.67,-,-
Bedmutha Industries,https://scanx.trade/company/bedmutha-industries-ltd,135.55,1.04%,134.16,"14,920",437.34,"-6,700.00",-107.53,199.58,95,21.66%,6.67%,-29.35%,125.73%,461.28%,3.07,-,13.07%,16.15%,6.49,111.83,135.96,68.76,50.00%,-
Bartronics,https://scanx.trade/company/bartronics-india-ltd,14.33,19.92%,12.12,"1,25,29,452",436.46,-,52.74,19.74,10.1,19.42%,7.34%,-24.54%,8.56%,8.56%,0.69,-,-,86.72%,-,11.73,13.55,70.65,-,-
Orient Paper & Industries,https://scanx.trade/company/orient-paper-and-industries-ltd,20.51,-1.68%,20.6,"1,82,084",435.19,-17.52,220.88,31.69,19.11,-11.37%,-19.09%,-33.19%,-54.17%,-2.33%,0.28,-,0.38%,-2.91%,-,22.1,26.04,44.55,50.00%,-
RPP Infra Projects,https://scanx.trade/company/rpp-infra-projects-ltd,87.72,-3.50%,91.01,"65,347",434.97,8.2,8.7,179.4,79.9,-13.92%,-25.17%,-49.18%,110.87%,64.67%,0.82,0.55%,-,17.89%,-,97.15,125.6,43.56,-,-
Shiv Aum Steels,https://scanx.trade/company/shiv-aum-steels-ltd,319.4,2.72%,-,-,434.4,43.31,34.45,360.55,237.5,-2.56%,6.47%,27.76%,68.11%,514.23%,3.65,-,-,18.13%,-,298.5,205.36,56.5,-,-
ABS Marine Services,https://scanx.trade/company/abs-marine-services-ltd,176.8,1.58%,174.05,"27,500",434.04,15.68,20.17,259,92.1,-11.33%,-19.58%,18.86%,-33.37%,-33.37%,1.85,-,-,11.07%,-,194.9,184.53,41.31,-,-
GP Eco Solutions,https://scanx.trade/company/gp-eco-solutions-ltd,366.6,-1.00%,379.65,"24,600",433.72,41.89,-0.1,616.5,230,-15.41%,-28.52%,30.77%,-6.90%,-6.90%,6.34,-,-,23.86%,-,411,463.54,49.26,-,-
KN Agri Resources,https://scanx.trade/company/kn-agri-resources-ltd,172.79,0.33%,176,"6,499",431.96,11.62,10.45,273.5,153.95,-13.48%,-26.16%,-34.46%,36.06%,18.35%,1.23,-,-,17.32%,-,189.41,217.5,45.19,-,-
Kriti Industries India,https://scanx.trade/company/kriti-industries-india-ltd,81.63,3.59%,79.83,"38,542",430.16,-24.25,24.12,177.51,72,2.02%,-29.06%,-36.92%,3.85%,-31.29%,1.89,-,-,7.14%,-,82.34,122.43,53.61,-,-
Owais Metal & Mineral Processing,https://scanx.trade/company/owais-metal-mineral-processing-ltd,236.5,4.23%,226.3,"14,200",430.01,-,-107.53,832,200.1,-7.64%,-52.04%,-71.11%,-9.90%,-9.90%,-,-,-,46.93%,-,270.07,467.6,43.31,-,-
Tirupati Forge,https://scanx.trade/company/tirupatifl.ltd,35.15,-1.93%,36.5,"2,58,095",429.81,83.35,21.9,49.5,28.21,-3.09%,-8.80%,-16.33%,133.55%,1124.74%,0.91,-,-,9.83%,-,34.15,37.64,52.97,-,-
